,country,time-period,sector,energy-type,value(KTOE)
0,Albania,2009,industry,Solid fossil fuels,98.149
1,Albania,2010,industry,Solid fossil fuels,108.549
2,Albania,2011,industry,Solid fossil fuels,137.799
3,Albania,2012,industry,Solid fossil fuels,76.049
4,Albania,2013,industry,Solid fossil fuels,63.05
5,Albania,2014,industry,Solid fossil fuels,81.249
6,Albania,2015,industry,Solid fossil fuels,91.133
7,Albania,2016,industry,Solid fossil fuels,46.394
8,Albania,2017,industry,Solid fossil fuels,119.884
9,Albania,2018,industry,Solid fossil fuels,235.83
10,Albania,2019,industry,Solid fossil fuels,119.296
11,Albania,2020,industry,Solid fossil fuels,147.401
12,Austria,2009,industry,Solid fossil fuels,328.351
13,Austria,2010,industry,Solid fossil fuels,296.866
14,Austria,2011,industry,Solid fossil fuels,296.637
15,Austria,2012,industry,Solid fossil fuels,301.607
16,Austria,2013,industry,Solid fossil fuels,312.563
17,Austria,2014,industry,Solid fossil fuels,313.929
18,Austria,2015,industry,Solid fossil fuels,331.023
19,Austria,2016,industry,Solid fossil fuels,339.88
20,Austria,2017,industry,Solid fossil fuels,305.567
21,Austria,2018,industry,Solid fossil fuels,290.666
22,Austria,2019,industry,Solid fossil fuels,288.412
23,Austria,2020,industry,Solid fossil fuels,323.825
24,Bosnia and Herzegovina,2014,industry,Solid fossil fuels,118.526
25,Bosnia and Herzegovina,2015,industry,Solid fossil fuels,114.341
26,Bosnia and Herzegovina,2016,industry,Solid fossil fuels,92.294
27,Bosnia and Herzegovina,2017,industry,Solid fossil fuels,115.113
28,Bosnia and Herzegovina,2018,industry,Solid fossil fuels,152.593
29,Bosnia and Herzegovina,2019,industry,Solid fossil fuels,105.621
30,Bosnia and Herzegovina,2020,industry,Solid fossil fuels,140.134
31,Belgium,2009,industry,Solid fossil fuels,310.511
32,Belgium,2010,industry,Solid fossil fuels,359.16
33,Belgium,2011,industry,Solid fossil fuels,351.202
34,Belgium,2012,industry,Solid fossil fuels,348.858
35,Belgium,2013,industry,Solid fossil fuels,406.803
36,Belgium,2014,industry,Solid fossil fuels,407.341
37,Belgium,2015,industry,Solid fossil fuels,419.614
38,Belgium,2016,industry,Solid fossil fuels,391.443
39,Belgium,2017,industry,Solid fossil fuels,375.696
40,Belgium,2018,industry,Solid fossil fuels,401.207
41,Belgium,2019,industry,Solid fossil fuels,406.756
42,Belgium,2020,industry,Solid fossil fuels,328.533
43,Bulgaria,2009,industry,Solid fossil fuels,153.981
44,Bulgaria,2010,industry,Solid fossil fuels,210.631
45,Bulgaria,2011,industry,Solid fossil fuels,196.538
46,Bulgaria,2012,industry,Solid fossil fuels,171.169
47,Bulgaria,2013,industry,Solid fossil fuels,163.841
48,Bulgaria,2014,industry,Solid fossil fuels,177.775
49,Bulgaria,2015,industry,Solid fossil fuels,185.369
50,Bulgaria,2016,industry,Solid fossil fuels,170.057
51,Bulgaria,2017,industry,Solid fossil fuels,199.527
52,Bulgaria,2018,industry,Solid fossil fuels,229.06
53,Bulgaria,2019,industry,Solid fossil fuels,196.352
54,Bulgaria,2020,industry,Solid fossil fuels,179.999
55,Cyprus,2009,industry,Solid fossil fuels,14.435
56,Cyprus,2010,industry,Solid fossil fuels,16.655
57,Cyprus,2011,industry,Solid fossil fuels,7.336
58,Cyprus,2012,industry,Solid fossil fuels,0.0
59,Cyprus,2013,industry,Solid fossil fuels,0.0
60,Cyprus,2014,industry,Solid fossil fuels,2.218
61,Cyprus,2015,industry,Solid fossil fuels,3.679
62,Cyprus,2016,industry,Solid fossil fuels,0.0
63,Cyprus,2017,industry,Solid fossil fuels,2.98
64,Cyprus,2018,industry,Solid fossil fuels,13.614
65,Cyprus,2019,industry,Solid fossil fuels,17.199
66,Cyprus,2020,industry,Solid fossil fuels,14.004
67,Czechia,2009,industry,Solid fossil fuels,1744.794
68,Czechia,2010,industry,Solid fossil fuels,882.303
69,Czechia,2011,industry,Solid fossil fuels,900.231
70,Czechia,2012,industry,Solid fossil fuels,913.604
71,Czechia,2013,industry,Solid fossil fuels,831.833
72,Czechia,2014,industry,Solid fossil fuels,724.224
73,Czechia,2015,industry,Solid fossil fuels,702.057
74,Czechia,2016,industry,Solid fossil fuels,695.873
75,Czechia,2017,industry,Solid fossil fuels,872.734
76,Czechia,2018,industry,Solid fossil fuels,834.639
77,Czechia,2019,industry,Solid fossil fuels,752.061
78,Czechia,2020,industry,Solid fossil fuels,747.294
79,Germany,2009,industry,Solid fossil fuels,2978.49
80,Germany,2010,industry,Solid fossil fuels,3288.373
81,Germany,2011,industry,Solid fossil fuels,3918.376
82,Germany,2012,industry,Solid fossil fuels,3496.013
83,Germany,2013,industry,Solid fossil fuels,3580.847
84,Germany,2014,industry,Solid fossil fuels,3451.66
85,Germany,2015,industry,Solid fossil fuels,3964.513
86,Germany,2016,industry,Solid fossil fuels,4083.146
87,Germany,2017,industry,Solid fossil fuels,4029.231
88,Germany,2018,industry,Solid fossil fuels,3245.072
89,Germany,2019,industry,Solid fossil fuels,3073.895
90,Germany,2020,industry,Solid fossil fuels,3100.226
91,Denmark,2009,industry,Solid fossil fuels,94.423
92,Denmark,2010,industry,Solid fossil fuels,105.524
93,Denmark,2011,industry,Solid fossil fuels,116.37
94,Denmark,2012,industry,Solid fossil fuels,87.037
95,Denmark,2013,industry,Solid fossil fuels,93.662
96,Denmark,2014,industry,Solid fossil fuels,101.569
97,Denmark,2015,industry,Solid fossil fuels,100.151
98,Denmark,2016,industry,Solid fossil fuels,107.053
99,Denmark,2017,industry,Solid fossil fuels,120.605
100,Denmark,2018,industry,Solid fossil fuels,124.95
101,Denmark,2019,industry,Solid fossil fuels,103.42
102,Denmark,2020,industry,Solid fossil fuels,103.824
103,Estonia,2009,industry,Solid fossil fuels,48.653
104,Estonia,2010,industry,Solid fossil fuels,30.489
105,Estonia,2011,industry,Solid fossil fuels,37.095
106,Estonia,2012,industry,Solid fossil fuels,33.841
107,Estonia,2013,industry,Solid fossil fuels,31.287
108,Estonia,2014,industry,Solid fossil fuels,42.157
109,Estonia,2015,industry,Solid fossil fuels,14.266
110,Estonia,2016,industry,Solid fossil fuels,12.969
111,Estonia,2017,industry,Solid fossil fuels,17.913
112,Estonia,2018,industry,Solid fossil fuels,23.646
113,Estonia,2019,industry,Solid fossil fuels,27.541
114,Estonia,2020,industry,Solid fossil fuels,5.182
115,Greece,2009,industry,Solid fossil fuels,167.956
116,Greece,2010,industry,Solid fossil fuels,298.168
117,Greece,2011,industry,Solid fossil fuels,210.943
118,Greece,2012,industry,Solid fossil fuels,226.865
119,Greece,2013,industry,Solid fossil fuels,210.495
120,Greece,2014,industry,Solid fossil fuels,226.715
121,Greece,2015,industry,Solid fossil fuels,218.178
122,Greece,2016,industry,Solid fossil fuels,193.742
123,Greece,2017,industry,Solid fossil fuels,190.412
124,Greece,2018,industry,Solid fossil fuels,277.44
125,Greece,2019,industry,Solid fossil fuels,194.241
126,Greece,2020,industry,Solid fossil fuels,162.928
127,Spain,2009,industry,Solid fossil fuels,352.865
128,Spain,2010,industry,Solid fossil fuels,303.651
129,Spain,2011,industry,Solid fossil fuels,615.0
130,Spain,2012,industry,Solid fossil fuels,341.754
131,Spain,2013,industry,Solid fossil fuels,320.348
132,Spain,2014,industry,Solid fossil fuels,317.127
133,Spain,2015,industry,Solid fossil fuels,315.462
134,Spain,2016,industry,Solid fossil fuels,296.198
135,Spain,2017,industry,Solid fossil fuels,288.305
136,Spain,2018,industry,Solid fossil fuels,264.118
137,Spain,2019,industry,Solid fossil fuels,234.162
138,Spain,2020,industry,Solid fossil fuels,213.201
139,Finland,2009,industry,Solid fossil fuels,177.903
140,Finland,2010,industry,Solid fossil fuels,216.366
141,Finland,2011,industry,Solid fossil fuels,207.117
142,Finland,2012,industry,Solid fossil fuels,101.596
143,Finland,2013,industry,Solid fossil fuels,103.258
144,Finland,2014,industry,Solid fossil fuels,101.05
145,Finland,2015,industry,Solid fossil fuels,106.508
146,Finland,2016,industry,Solid fossil fuels,136.421
147,Finland,2017,industry,Solid fossil fuels,133.856
148,Finland,2018,industry,Solid fossil fuels,125.78
149,Finland,2019,industry,Solid fossil fuels,116.018
150,Finland,2020,industry,Solid fossil fuels,103.944
151,France,2009,industry,Solid fossil fuels,1274.697
152,France,2010,industry,Solid fossil fuels,1358.46
153,France,2011,industry,Solid fossil fuels,1131.179
154,France,2012,industry,Solid fossil fuels,1232.7
155,France,2013,industry,Solid fossil fuels,1039.903
156,France,2014,industry,Solid fossil fuels,972.74
157,France,2015,industry,Solid fossil fuels,1030.433
158,France,2016,industry,Solid fossil fuels,994.043
159,France,2017,industry,Solid fossil fuels,1045.566
160,France,2018,industry,Solid fossil fuels,1095.287
161,France,2019,industry,Solid fossil fuels,889.545
162,France,2020,industry,Solid fossil fuels,784.89
163,Georgia,2013,industry,Solid fossil fuels,313.56
164,Georgia,2014,industry,Solid fossil fuels,289.398
165,Georgia,2015,industry,Solid fossil fuels,269.893
166,Georgia,2016,industry,Solid fossil fuels,248.404
167,Georgia,2017,industry,Solid fossil fuels,274.734
168,Georgia,2018,industry,Solid fossil fuels,293.144
169,Georgia,2019,industry,Solid fossil fuels,240.69
170,Georgia,2020,industry,Solid fossil fuels,212.711
171,Croatia,2009,industry,Solid fossil fuels,125.627
172,Croatia,2010,industry,Solid fossil fuels,143.668
173,Croatia,2011,industry,Solid fossil fuels,138.216
174,Croatia,2012,industry,Solid fossil fuels,123.768
175,Croatia,2013,industry,Solid fossil fuels,110.855
176,Croatia,2014,industry,Solid fossil fuels,99.145
177,Croatia,2015,industry,Solid fossil fuels,78.33
178,Croatia,2016,industry,Solid fossil fuels,64.104
179,Croatia,2017,industry,Solid fossil fuels,72.414
180,Croatia,2018,industry,Solid fossil fuels,66.232
181,Croatia,2019,industry,Solid fossil fuels,79.938
182,Croatia,2020,industry,Solid fossil fuels,102.579
183,Hungary,2009,industry,Solid fossil fuels,86.679
184,Hungary,2010,industry,Solid fossil fuels,85.483
185,Hungary,2011,industry,Solid fossil fuels,86.054
186,Hungary,2012,industry,Solid fossil fuels,75.58
187,Hungary,2013,industry,Solid fossil fuels,47.725
188,Hungary,2014,industry,Solid fossil fuels,56.94
189,Hungary,2015,industry,Solid fossil fuels,77.253
190,Hungary,2016,industry,Solid fossil fuels,76.027
191,Hungary,2017,industry,Solid fossil fuels,146.547
192,Hungary,2018,industry,Solid fossil fuels,128.833
193,Hungary,2019,industry,Solid fossil fuels,110.979
194,Hungary,2020,industry,Solid fossil fuels,97.297
195,Ireland,2009,industry,Solid fossil fuels,108.675
196,Ireland,2010,industry,Solid fossil fuels,124.007
197,Ireland,2011,industry,Solid fossil fuels,106.3
198,Ireland,2012,industry,Solid fossil fuels,95.309
199,Ireland,2013,industry,Solid fossil fuels,82.207
200,Ireland,2014,industry,Solid fossil fuels,106.977
201,Ireland,2015,industry,Solid fossil fuels,105.857
202,Ireland,2016,industry,Solid fossil fuels,106.465
203,Ireland,2017,industry,Solid fossil fuels,102.107
204,Ireland,2018,industry,Solid fossil fuels,105.409
205,Ireland,2019,industry,Solid fossil fuels,79.139
206,Ireland,2020,industry,Solid fossil fuels,76.082
207,Iceland,2009,industry,Solid fossil fuels,85.403
208,Iceland,2010,industry,Solid fossil fuels,90.126
209,Iceland,2011,industry,Solid fossil fuels,90.73
210,Iceland,2012,industry,Solid fossil fuels,92.641
211,Iceland,2013,industry,Solid fossil fuels,97.595
212,Iceland,2014,industry,Solid fossil fuels,86.743
213,Iceland,2015,industry,Solid fossil fuels,93.004
214,Iceland,2016,industry,Solid fossil fuels,0.0
215,Iceland,2017,industry,Solid fossil fuels,0.0
216,Iceland,2018,industry,Solid fossil fuels,0.0
217,Iceland,2019,industry,Solid fossil fuels,0.0
218,Iceland,2020,industry,Solid fossil fuels,0.0
219,Italy,2009,industry,Solid fossil fuels,566.599
220,Italy,2010,industry,Solid fossil fuels,619.684
221,Italy,2011,industry,Solid fossil fuels,986.407
222,Italy,2012,industry,Solid fossil fuels,950.763
223,Italy,2013,industry,Solid fossil fuels,704.387
224,Italy,2014,industry,Solid fossil fuels,739.881
225,Italy,2015,industry,Solid fossil fuels,539.45
226,Italy,2016,industry,Solid fossil fuels,688.034
227,Italy,2017,industry,Solid fossil fuels,489.273
228,Italy,2018,industry,Solid fossil fuels,623.279
229,Italy,2019,industry,Solid fossil fuels,595.062
230,Italy,2020,industry,Solid fossil fuels,409.362
231,Lithuania,2009,industry,Solid fossil fuels,62.366
232,Lithuania,2010,industry,Solid fossil fuels,84.476
233,Lithuania,2011,industry,Solid fossil fuels,104.994
234,Lithuania,2012,industry,Solid fossil fuels,118.236
235,Lithuania,2013,industry,Solid fossil fuels,135.693
236,Lithuania,2014,industry,Solid fossil fuels,117.394
237,Lithuania,2015,industry,Solid fossil fuels,95.495
238,Lithuania,2016,industry,Solid fossil fuels,86.795
239,Lithuania,2017,industry,Solid fossil fuels,84.64
240,Lithuania,2018,industry,Solid fossil fuels,94.561
241,Lithuania,2019,industry,Solid fossil fuels,105.535
242,Lithuania,2020,industry,Solid fossil fuels,88.584
243,Luxembourg,2009,industry,Solid fossil fuels,66.389
244,Luxembourg,2010,industry,Solid fossil fuels,64.97
245,Luxembourg,2011,industry,Solid fossil fuels,58.584
246,Luxembourg,2012,industry,Solid fossil fuels,54.377
247,Luxembourg,2013,industry,Solid fossil fuels,51.927
248,Luxembourg,2014,industry,Solid fossil fuels,51.589
249,Luxembourg,2015,industry,Solid fossil fuels,48.598
250,Luxembourg,2016,industry,Solid fossil fuels,50.343
251,Luxembourg,2017,industry,Solid fossil fuels,46.735
252,Luxembourg,2018,industry,Solid fossil fuels,41.522
253,Luxembourg,2019,industry,Solid fossil fuels,45.509
254,Luxembourg,2020,industry,Solid fossil fuels,38.176
255,Latvia,2009,industry,Solid fossil fuels,35.765
256,Latvia,2010,industry,Solid fossil fuels,46.384
257,Latvia,2011,industry,Solid fossil fuels,55.151
258,Latvia,2012,industry,Solid fossil fuels,52.774
259,Latvia,2013,industry,Solid fossil fuels,34.691
260,Latvia,2014,industry,Solid fossil fuels,31.74
261,Latvia,2015,industry,Solid fossil fuels,23.985
262,Latvia,2016,industry,Solid fossil fuels,17.563
263,Latvia,2017,industry,Solid fossil fuels,23.274
264,Latvia,2018,industry,Solid fossil fuels,32.014
265,Latvia,2019,industry,Solid fossil fuels,28.977
266,Latvia,2020,industry,Solid fossil fuels,19.19
267,Moldova,2010,industry,Solid fossil fuels,34.492
268,Moldova,2011,industry,Solid fossil fuels,44.048
269,Moldova,2012,industry,Solid fossil fuels,29.245
270,Moldova,2013,industry,Solid fossil fuels,54.667
271,Moldova,2014,industry,Solid fossil fuels,31.649
272,Moldova,2015,industry,Solid fossil fuels,39.061
273,Moldova,2016,industry,Solid fossil fuels,22.286
274,Moldova,2017,industry,Solid fossil fuels,27.697
275,Moldova,2018,industry,Solid fossil fuels,24.984
276,Moldova,2019,industry,Solid fossil fuels,22.406
277,Moldova,2020,industry,Solid fossil fuels,18.968
278,Montenegro,2009,industry,Solid fossil fuels,4.212
279,Montenegro,2010,industry,Solid fossil fuels,2.42
280,Montenegro,2011,industry,Solid fossil fuels,3.3
281,Montenegro,2012,industry,Solid fossil fuels,5.059
282,Montenegro,2013,industry,Solid fossil fuels,2.86
283,Montenegro,2014,industry,Solid fossil fuels,3.08
284,Montenegro,2015,industry,Solid fossil fuels,6.599
285,Montenegro,2016,industry,Solid fossil fuels,6.343
286,Montenegro,2017,industry,Solid fossil fuels,5.656
287,Montenegro,2018,industry,Solid fossil fuels,2.697
288,Montenegro,2019,industry,Solid fossil fuels,3.354
289,Montenegro,2020,industry,Solid fossil fuels,2.812
290,North Macedonia,2009,industry,Solid fossil fuels,67.77
291,North Macedonia,2010,industry,Solid fossil fuels,109.623
292,North Macedonia,2011,industry,Solid fossil fuels,153.106
293,North Macedonia,2012,industry,Solid fossil fuels,142.468
294,North Macedonia,2013,industry,Solid fossil fuels,120.076
295,North Macedonia,2014,industry,Solid fossil fuels,100.251
296,North Macedonia,2015,industry,Solid fossil fuels,98.346
297,North Macedonia,2016,industry,Solid fossil fuels,125.689
298,North Macedonia,2017,industry,Solid fossil fuels,95.32
299,North Macedonia,2018,industry,Solid fossil fuels,110.647
300,North Macedonia,2019,industry,Solid fossil fuels,125.682
301,North Macedonia,2020,industry,Solid fossil fuels,68.185
302,Malta,2009,industry,Solid fossil fuels,0.0
303,Malta,2010,industry,Solid fossil fuels,0.0
304,Malta,2011,industry,Solid fossil fuels,0.0
305,Malta,2012,industry,Solid fossil fuels,0.0
306,Malta,2013,industry,Solid fossil fuels,0.0
307,Malta,2014,industry,Solid fossil fuels,0.0
308,Malta,2015,industry,Solid fossil fuels,0.0
309,Malta,2016,industry,Solid fossil fuels,0.0
310,Malta,2017,industry,Solid fossil fuels,0.0
311,Malta,2018,industry,Solid fossil fuels,0.0
312,Malta,2019,industry,Solid fossil fuels,0.0
313,Malta,2020,industry,Solid fossil fuels,0.0
314,Netherlands,2009,industry,Solid fossil fuels,99.224
315,Netherlands,2010,industry,Solid fossil fuels,108.988
316,Netherlands,2011,industry,Solid fossil fuels,100.174
317,Netherlands,2012,industry,Solid fossil fuels,104.151
318,Netherlands,2013,industry,Solid fossil fuels,78.482
319,Netherlands,2014,industry,Solid fossil fuels,80.125
320,Netherlands,2015,industry,Solid fossil fuels,187.742
321,Netherlands,2016,industry,Solid fossil fuels,232.476
322,Netherlands,2017,industry,Solid fossil fuels,249.316
323,Netherlands,2018,industry,Solid fossil fuels,230.375
324,Netherlands,2019,industry,Solid fossil fuels,209.245
325,Netherlands,2020,industry,Solid fossil fuels,168.202
326,Norway,2009,industry,Solid fossil fuels,409.007
327,Norway,2010,industry,Solid fossil fuels,495.481
328,Norway,2011,industry,Solid fossil fuels,444.454
329,Norway,2012,industry,Solid fossil fuels,474.138
330,Norway,2013,industry,Solid fossil fuels,470.495
331,Norway,2014,industry,Solid fossil fuels,465.914
332,Norway,2015,industry,Solid fossil fuels,464.954
333,Norway,2016,industry,Solid fossil fuels,521.233
334,Norway,2017,industry,Solid fossil fuels,498.799
335,Norway,2018,industry,Solid fossil fuels,462.673
336,Norway,2019,industry,Solid fossil fuels,490.699
337,Norway,2020,industry,Solid fossil fuels,520.211
338,Poland,2009,industry,Solid fossil fuels,3001.012
339,Poland,2010,industry,Solid fossil fuels,3176.44
340,Poland,2011,industry,Solid fossil fuels,3463.624
341,Poland,2012,industry,Solid fossil fuels,3279.395
342,Poland,2013,industry,Solid fossil fuels,3175.447
343,Poland,2014,industry,Solid fossil fuels,3126.678
344,Poland,2015,industry,Solid fossil fuels,2954.749
345,Poland,2016,industry,Solid fossil fuels,2855.465
346,Poland,2017,industry,Solid fossil fuels,3062.691
347,Poland,2018,industry,Solid fossil fuels,2999.737
348,Poland,2019,industry,Solid fossil fuels,2797.57
349,Poland,2020,industry,Solid fossil fuels,2492.997
350,Portugal,2009,industry,Solid fossil fuels,22.629
351,Portugal,2010,industry,Solid fossil fuels,50.152
352,Portugal,2011,industry,Solid fossil fuels,20.226
353,Portugal,2012,industry,Solid fossil fuels,20.008
354,Portugal,2013,industry,Solid fossil fuels,18.469
355,Portugal,2014,industry,Solid fossil fuels,13.904
356,Portugal,2015,industry,Solid fossil fuels,12.968
357,Portugal,2016,industry,Solid fossil fuels,12.716
358,Portugal,2017,industry,Solid fossil fuels,11.0
359,Portugal,2018,industry,Solid fossil fuels,10.15
360,Portugal,2019,industry,Solid fossil fuels,10.798
361,Portugal,2020,industry,Solid fossil fuels,9.695
362,Romania,2009,industry,Solid fossil fuels,450.415
363,Romania,2010,industry,Solid fossil fuels,524.257
364,Romania,2011,industry,Solid fossil fuels,769.146
365,Romania,2012,industry,Solid fossil fuels,737.896
366,Romania,2013,industry,Solid fossil fuels,663.521
367,Romania,2014,industry,Solid fossil fuels,598.183
368,Romania,2015,industry,Solid fossil fuels,696.353
369,Romania,2016,industry,Solid fossil fuels,671.938
370,Romania,2017,industry,Solid fossil fuels,593.452
371,Romania,2018,industry,Solid fossil fuels,582.821
372,Romania,2019,industry,Solid fossil fuels,618.636
373,Romania,2020,industry,Solid fossil fuels,557.789
