,country,time-period,sector,energy-type,value(KTOE)
0,Albania,2009,road-transport,Electricity,0.0
1,Albania,2010,road-transport,Electricity,0.0
2,Albania,2011,road-transport,Electricity,0.0
3,Albania,2012,road-transport,Electricity,0.0
4,Albania,2013,road-transport,Electricity,0.0
5,Albania,2014,road-transport,Electricity,0.0
6,Albania,2015,road-transport,Electricity,0.0
7,Albania,2016,road-transport,Electricity,0.0
8,Albania,2017,road-transport,Electricity,0.0
9,Albania,2018,road-transport,Electricity,0.0
10,Albania,2019,road-transport,Electricity,0.314
11,Albania,2020,road-transport,Electricity,0.37
12,Austria,2009,road-transport,Electricity,1.264
13,Austria,2010,road-transport,Electricity,1.302
14,Austria,2011,road-transport,Electricity,1.299
15,Austria,2012,road-transport,Electricity,1.283
16,Austria,2013,road-transport,Electricity,1.272
17,Austria,2014,road-transport,Electricity,1.233
18,Austria,2015,road-transport,Electricity,1.219
19,Austria,2016,road-transport,Electricity,1.207
20,Austria,2017,road-transport,Electricity,1.236
21,Austria,2018,road-transport,Electricity,1.262
22,Austria,2019,road-transport,Electricity,1.227
23,Austria,2020,road-transport,Electricity,1.163
24,Bosnia and Herzegovina,2014,road-transport,Electricity,0.0
25,Bosnia and Herzegovina,2015,road-transport,Electricity,0.0
26,Bosnia and Herzegovina,2016,road-transport,Electricity,0.0
27,Bosnia and Herzegovina,2017,road-transport,Electricity,0.0
28,Bosnia and Herzegovina,2018,road-transport,Electricity,0.0
29,Bosnia and Herzegovina,2019,road-transport,Electricity,0.0
30,Bosnia and Herzegovina,2020,road-transport,Electricity,0.0
31,Belgium,2009,road-transport,Electricity,0.009
32,Belgium,2010,road-transport,Electricity,0.009
33,Belgium,2011,road-transport,Electricity,0.06
34,Belgium,2012,road-transport,Electricity,0.232
35,Belgium,2013,road-transport,Electricity,0.344
36,Belgium,2014,road-transport,Electricity,0.645
37,Belgium,2015,road-transport,Electricity,1.083
38,Belgium,2016,road-transport,Electricity,2.382
39,Belgium,2017,road-transport,Electricity,3.904
40,Belgium,2018,road-transport,Electricity,5.873
41,Belgium,2019,road-transport,Electricity,8.745
42,Belgium,2020,road-transport,Electricity,11.505
43,Bulgaria,2009,road-transport,Electricity,6.707
44,Bulgaria,2010,road-transport,Electricity,6.621
