,country,time-period,sector,energy-type,value(KTOE)
0,Albania,2009,Services,Solid fossil fuels,2.351
1,Albania,2010,Services,Solid fossil fuels,2.351
2,Albania,2011,Services,Solid fossil fuels,1.175
3,Albania,2012,Services,Solid fossil fuels,0.94
4,Albania,2013,Services,Solid fossil fuels,3.72
5,Albania,2014,Services,Solid fossil fuels,3.25
6,Albania,2015,Services,Solid fossil fuels,2.956
7,Albania,2016,Services,Solid fossil fuels,3.548
8,Albania,2017,Services,Solid fossil fuels,3.265
9,Albania,2018,Services,Solid fossil fuels,3.265
10,Albania,2019,Services,Solid fossil fuels,4.206
11,Albania,2020,Services,Solid fossil fuels,3.265
12,Austria,2009,Services,Solid fossil fuels,4.535
13,Austria,2010,Services,Solid fossil fuels,5.072
14,Austria,2011,Services,Solid fossil fuels,3.531
15,Austria,2012,Services,Solid fossil fuels,0.064
16,Austria,2013,Services,Solid fossil fuels,0.187
17,Austria,2014,Services,Solid fossil fuels,0.02
18,Austria,2015,Services,Solid fossil fuels,0.014
19,Austria,2016,Services,Solid fossil fuels,0.0
20,Austria,2017,Services,Solid fossil fuels,0.0
21,Austria,2018,Services,Solid fossil fuels,0.0
22,Austria,2019,Services,Solid fossil fuels,0.0
23,Austria,2020,Services,Solid fossil fuels,0.0
24,Bosnia and Herzegovina,2014,Services,Solid fossil fuels,94.961
25,Bosnia and Herzegovina,2015,Services,Solid fossil fuels,111.283
26,Bosnia and Herzegovina,2016,Services,Solid fossil fuels,109.145
27,Bosnia and Herzegovina,2017,Services,Solid fossil fuels,45.135
28,Bosnia and Herzegovina,2018,Services,Solid fossil fuels,49.405
29,Bosnia and Herzegovina,2019,Services,Solid fossil fuels,41.878
30,Bosnia and Herzegovina,2020,Services,Solid fossil fuels,34.872
31,Belgium,2009,Services,Solid fossil fuels,0.0
32,Belgium,2010,Services,Solid fossil fuels,0.0
33,Belgium,2011,Services,Solid fossil fuels,0.0
34,Belgium,2012,Services,Solid fossil fuels,0.0
35,Belgium,2013,Services,Solid fossil fuels,0.0
36,Belgium,2014,Services,Solid fossil fuels,0.0
37,Belgium,2015,Services,Solid fossil fuels,0.0
38,Belgium,2016,Services,Solid fossil fuels,0.0
39,Belgium,2017,Services,Solid fossil fuels,0.0
40,Belgium,2018,Services,Solid fossil fuels,0.0
41,Belgium,2019,Services,Solid fossil fuels,0.0
42,Belgium,2020,Services,Solid fossil fuels,0.0
43,Bulgaria,2009,Services,Solid fossil fuels,4.581
44,Bulgaria,2010,Services,Solid fossil fuels,4.276
45,Bulgaria,2011,Services,Solid fossil fuels,4.799
46,Bulgaria,2012,Services,Solid fossil fuels,3.601
47,Bulgaria,2013,Services,Solid fossil fuels,4.778
48,Bulgaria,2014,Services,Solid fossil fuels,2.12
49,Bulgaria,2015,Services,Solid fossil fuels,5.554
50,Bulgaria,2016,Services,Solid fossil fuels,5.965
51,Bulgaria,2017,Services,Solid fossil fuels,3.902
52,Bulgaria,2018,Services,Solid fossil fuels,2.533
53,Bulgaria,2019,Services,Solid fossil fuels,3.833
54,Bulgaria,2020,Services,Solid fossil fuels,3.278
55,Cyprus,2009,Services,Solid fossil fuels,0.0
56,Cyprus,2010,Services,Solid fossil fuels,0.0
57,Cyprus,2011,Services,Solid fossil fuels,0.0
58,Cyprus,2012,Services,Solid fossil fuels,0.0
59,Cyprus,2013,Services,Solid fossil fuels,0.0
