,country,time-period,sector,energy-type,value(KTOE)
0,Albania,2009,transport,Electricity,0.0
1,Albania,2010,transport,Electricity,0.0
2,Albania,2011,transport,Electricity,0.0
3,Albania,2012,transport,Electricity,0.0
4,Albania,2013,transport,Electricity,0.0
5,Albania,2014,transport,Electricity,0.0
6,Albania,2015,transport,Electricity,0.0
7,Albania,2016,transport,Electricity,0.0
8,Albania,2017,transport,Electricity,0.0
9,Albania,2018,transport,Electricity,0.0
10,Albania,2019,transport,Electricity,0.314
11,Albania,2020,transport,Electricity,0.37
12,Austria,2009,transport,Electricity,283.325
13,Austria,2010,transport,Electricity,276.246
14,Austria,2011,transport,Electricity,268.811
15,Austria,2012,transport,Electricity,263.491
16,Austria,2013,transport,Electricity,267.136
17,Austria,2014,transport,Electricity,263.507
18,Austria,2015,transport,Electricity,272.007
19,Austria,2016,transport,Electricity,275.718
20,Austria,2017,transport,Electricity,280.585
21,Austria,2018,transport,Electricity,282.096
22,Austria,2019,transport,Electricity,281.89
23,Austria,2020,transport,Electricity,265.98
24,Bosnia and Herzegovina,2014,transport,Electricity,6.879
25,Bosnia and Herzegovina,2015,transport,Electricity,7.825
26,Bosnia and Herzegovina,2016,transport,Electricity,6.277
27,Bosnia and Herzegovina,2017,transport,Electricity,6.535
28,Bosnia and Herzegovina,2018,transport,Electricity,5.073
29,Bosnia and Herzegovina,2019,transport,Electricity,5.073
30,Bosnia and Herzegovina,2020,transport,Electricity,5.073
31,Belgium,2009,transport,Electricity,146.096
32,Belgium,2010,transport,Electricity,150.628
33,Belgium,2011,transport,Electricity,146.982
34,Belgium,2012,transport,Electricity,140.98
35,Belgium,2013,transport,Electricity,148.323
36,Belgium,2014,transport,Electricity,137.893
37,Belgium,2015,transport,Electricity,140.0
38,Belgium,2016,transport,Electricity,142.906
39,Belgium,2017,transport,Electricity,146.346
40,Belgium,2018,transport,Electricity,150.069
41,Belgium,2019,transport,Electricity,148.487
42,Belgium,2020,transport,Electricity,138.727
43,Bulgaria,2009,transport,Electricity,40.155
44,Bulgaria,2010,transport,Electricity,34.308
45,Bulgaria,2011,transport,Electricity,31.556
