,country,time-period,energy-balance,value(GWH)
0,Albania,2018-01,Internal market,588.34
1,Albania,2018-02,Internal market,542.046
2,Albania,2018-03,Internal market,564.343
3,Albania,2018-04,Internal market,465.565
4,Albania,2018-05,Internal market,476.886
5,Albania,2018-06,Internal market,479.546
6,Albania,2018-07,Internal market,517.478
7,Albania,2018-08,Internal market,550.17
8,Albania,2018-09,Internal market,475.65
9,Albania,2018-10,Internal market,497.155
10,Albania,2018-11,Internal market,528.975
11,Albania,2018-12,Internal market,653.736
12,Albania,2019-01,Internal market,631.702
13,Albania,2019-02,Internal market,545.847
14,Albania,2019-03,Internal market,559.639
15,Albania,2019-04,Internal market,528.04
16,Albania,2019-05,Internal market,518.804
17,Albania,2019-06,Internal market,527.613
18,Albania,2019-07,Internal market,550.73
19,Albania,2019-08,Internal market,578.114
20,Albania,2019-09,Internal market,493.023
21,Albania,2019-10,Internal market,465.219
22,Albania,2019-11,Internal market,495.912
23,Albania,2019-12,Internal market,601.745
24,Albania,2020-01,Internal market,620.435
25,Albania,2020-02,Internal market,576.753
26,Albania,2020-03,Internal market,543.26
27,Albania,2020-04,Internal market,474.191
28,Albania,2020-05,Internal market,475.995
29,Albania,2020-06,Internal market,481.078
30,Albania,2020-07,Internal market,530.676
31,Albania,2020-08,Internal market,540.98
32,Albania,2020-09,Internal market,507.919
33,Albania,2020-10,Internal market,511.867
34,Albania,2020-11,Internal market,558.846
35,Albania,2020-12,Internal market,664.89
36,Albania,2021-01,Internal market,656.63
37,Albania,2021-02,Internal market,597.971
38,Albania,2021-03,Internal market,617.122
39,Albania,2021-04,Internal market,594.413
40,Albania,2021-05,Internal market,540.115
41,Albania,2021-06,Internal market,547.893
42,Albania,2021-07,Internal market,616.085
43,Albania,2021-08,Internal market,632.615
44,Albania,2021-09,Internal market,530.824
45,Albania,2021-10,Internal market,552.893
46,Albania,2021-11,Internal market,573.072
47,Albania,2021-12,Internal market,705.905
48,Albania,2022-01,Internal market,668.344
49,Albania,2022-02,Internal market,628.763
50,Albania,2022-03,Internal market,663.317
51,Albania,2022-04,Internal market,563.197
52,Albania,2022-05,Internal market,526.352
53,Austria,2008-01,Internal market,6187.0
54,Austria,2008-02,Internal market,5725.0
55,Austria,2008-03,Internal market,5878.0
56,Austria,2008-04,Internal market,5438.0
57,Austria,2008-05,Internal market,5218.0
58,Austria,2008-06,Internal market,5210.0
59,Austria,2008-07,Internal market,5297.0
60,Austria,2008-08,Internal market,5086.0
61,Austria,2008-09,Internal market,5343.0
62,Austria,2008-10,Internal market,5630.0
63,Austria,2008-11,Internal market,5634.0
64,Austria,2008-12,Internal market,5786.0
65,Austria,2009-01,Internal market,6083.0
66,Austria,2009-02,Internal market,5474.0
67,Austria,2009-03,Internal market,5719.0
68,Austria,2009-04,Internal market,4883.0
69,Austria,2009-05,Internal market,4896.0
70,Austria,2009-06,Internal market,4846.0
71,Austria,2009-07,Internal market,5052.0
72,Austria,2009-08,Internal market,4871.0
73,Austria,2009-09,Internal market,5075.0
74,Austria,2009-10,Internal market,5486.0
75,Austria,2009-11,Internal market,5577.0
76,Austria,2009-12,Internal market,5960.0
77,Austria,2010-01,Internal market,6191.0
78,Austria,2010-02,Internal market,5617.0
79,Austria,2010-03,Internal market,5900.0
80,Austria,2010-04,Internal market,5230.0
81,Austria,2010-05,Internal market,5165.0
82,Austria,2010-06,Internal market,5116.0
83,Austria,2010-07,Internal market,5255.0
84,Austria,2010-08,Internal market,5101.0
85,Austria,2010-09,Internal market,5255.0
86,Austria,2010-10,Internal market,5647.0
87,Austria,2010-11,Internal market,5771.0
88,Austria,2010-12,Internal market,6362.0
89,Austria,2011-01,Internal market,6236.0
90,Austria,2011-02,Internal market,5723.0
91,Austria,2011-03,Internal market,6003.0
92,Austria,2011-04,Internal market,5228.0
93,Austria,2011-05,Internal market,5294.0
94,Austria,2011-06,Internal market,5070.0
95,Austria,2011-07,Internal market,5264.0
96,Austria,2011-08,Internal market,5229.0
97,Austria,2011-09,Internal market,5307.0
98,Austria,2011-10,Internal market,5600.0
99,Austria,2011-11,Internal market,5814.0
100,Austria,2011-12,Internal market,6042.0
101,Austria,2012-01,Internal market,6184.0
102,Austria,2012-02,Internal market,6184.0
103,Austria,2012-03,Internal market,5881.0
104,Austria,2012-04,Internal market,5298.0
105,Austria,2012-05,Internal market,5245.0
106,Austria,2012-06,Internal market,5172.0
107,Austria,2012-07,Internal market,5318.0
108,Austria,2012-08,Internal market,5243.0
109,Austria,2012-09,Internal market,5200.0
110,Austria,2012-10,Internal market,5629.0
111,Austria,2012-11,Internal market,5744.0
112,Austria,2012-12,Internal market,6126.0
113,Austria,2013-01,Internal market,6338.0
114,Austria,2013-02,Internal market,5812.0
115,Austria,2013-03,Internal market,6103.0
116,Austria,2013-04,Internal market,5422.0
117,Austria,2013-05,Internal market,5241.0
118,Austria,2013-06,Internal market,5204.0
119,Austria,2013-07,Internal market,5360.0
120,Austria,2013-08,Internal market,5209.0
121,Austria,2013-09,Internal market,5283.0
122,Austria,2013-10,Internal market,5747.0
123,Austria,2013-11,Internal market,5890.0
124,Austria,2013-12,Internal market,6100.0
125,Austria,2014-01,Internal market,6237.0
126,Austria,2014-02,Internal market,5652.0
127,Austria,2014-03,Internal market,5839.0
128,Austria,2014-04,Internal market,5360.0
129,Austria,2014-05,Internal market,5362.0
130,Austria,2014-06,Internal market,5152.0
131,Austria,2014-07,Internal market,5409.0
132,Austria,2014-08,Internal market,5180.0
133,Austria,2014-09,Internal market,5364.0
134,Austria,2014-10,Internal market,5690.0
135,Austria,2014-11,Internal market,5693.0
136,Austria,2014-12,Internal market,6072.0
137,Austria,2015-01,Internal market,6340.0
138,Austria,2015-02,Internal market,5857.0
139,Austria,2015-03,Internal market,6044.0
140,Austria,2015-04,Internal market,5395.0
141,Austria,2015-05,Internal market,5334.0
142,Austria,2015-06,Internal market,5260.0
143,Austria,2015-07,Internal market,5450.0
144,Austria,2015-08,Internal market,5294.0
145,Austria,2015-09,Internal market,5371.0
146,Austria,2015-10,Internal market,5666.0
147,Austria,2015-11,Internal market,5843.0
