,country,time-period,fuel-type,value(GWH)
0,Albania,2018-01,Coal and manufactured gases,0.0
1,Albania,2018-02,Coal and manufactured gases,0.0
2,Albania,2018-03,Coal and manufactured gases,0.0
3,Albania,2018-04,Coal and manufactured gases,0.0
4,Albania,2018-05,Coal and manufactured gases,0.0
5,Albania,2018-06,Coal and manufactured gases,0.0
6,Albania,2018-07,Coal and manufactured gases,0.0
7,Albania,2018-08,Coal and manufactured gases,0.0
8,Albania,2018-09,Coal and manufactured gases,0.0
9,Albania,2018-10,Coal and manufactured gases,0.0
10,Albania,2018-11,Coal and manufactured gases,0.0
11,Albania,2018-12,Coal and manufactured gases,0.0
12,Albania,2019-01,Coal and manufactured gases,0.0
13,Albania,2019-02,Coal and manufactured gases,0.0
14,Albania,2019-03,Coal and manufactured gases,0.0
15,Albania,2019-04,Coal and manufactured gases,0.0
16,Albania,2019-05,Coal and manufactured gases,0.0
17,Albania,2019-06,Coal and manufactured gases,0.0
18,Albania,2019-07,Coal and manufactured gases,0.0
19,Albania,2019-08,Coal and manufactured gases,0.0
20,Albania,2019-09,Coal and manufactured gases,0.0
21,Albania,2019-10,Coal and manufactured gases,0.0
22,Albania,2019-11,Coal and manufactured gases,0.0
23,Albania,2019-12,Coal and manufactured gases,0.0
24,Albania,2020-01,Coal and manufactured gases,0.0
25,Albania,2020-02,Coal and manufactured gases,0.0
26,Albania,2020-03,Coal and manufactured gases,0.0
27,Albania,2020-04,Coal and manufactured gases,0.0
28,Albania,2020-05,Coal and manufactured gases,0.0
29,Albania,2020-06,Coal and manufactured gases,0.0
30,Albania,2020-07,Coal and manufactured gases,0.0
31,Albania,2020-08,Coal and manufactured gases,0.0
32,Albania,2020-09,Coal and manufactured gases,0.0
33,Albania,2020-10,Coal and manufactured gases,0.0
34,Albania,2020-11,Coal and manufactured gases,0.0
35,Albania,2020-12,Coal and manufactured gases,0.0
36,Albania,2021-01,Coal and manufactured gases,0.0
37,Albania,2021-02,Coal and manufactured gases,0.0
38,Albania,2021-03,Coal and manufactured gases,0.0
39,Albania,2021-04,Coal and manufactured gases,0.0
40,Albania,2021-05,Coal and manufactured gases,0.0
41,Albania,2021-06,Coal and manufactured gases,0.0
42,Albania,2021-07,Coal and manufactured gases,0.0
43,Albania,2021-08,Coal and manufactured gases,0.0
44,Albania,2021-09,Coal and manufactured gases,0.0
45,Albania,2021-10,Coal and manufactured gases,0.0
46,Albania,2021-11,Coal and manufactured gases,0.0
47,Albania,2021-12,Coal and manufactured gases,0.0
48,Albania,2022-01,Coal and manufactured gases,0.0
49,Albania,2022-02,Coal and manufactured gases,0.0
