,country,time-period,sector,energy-type,value(KTOE)
0,Albania,2009,households,Solid fossil fuels,0.0
1,Albania,2010,households,Solid fossil fuels,0.0
2,Albania,2011,households,Solid fossil fuels,0.0
3,Albania,2012,households,Solid fossil fuels,0.235
4,Albania,2013,households,Solid fossil fuels,0.235
5,Albania,2014,households,Solid fossil fuels,0.65
6,Albania,2015,households,Solid fossil fuels,0.0
7,Albania,2016,households,Solid fossil fuels,0.0
8,Albania,2017,households,Solid fossil fuels,0.0
9,Albania,2018,households,Solid fossil fuels,0.0
10,Albania,2019,households,Solid fossil fuels,0.0
11,Albania,2020,households,Solid fossil fuels,0.0
12,Austria,2009,households,Solid fossil fuels,55.76
13,Austria,2010,households,Solid fossil fuels,61.295
14,Austria,2011,households,Solid fossil fuels,39.785
15,Austria,2012,households,Solid fossil fuels,41.86
16,Austria,2013,households,Solid fossil fuels,31.656
17,Austria,2014,households,Solid fossil fuels,26.15
18,Austria,2015,households,Solid fossil fuels,21.283
19,Austria,2016,households,Solid fossil fuels,20.544
20,Austria,2017,households,Solid fossil fuels,22.476
21,Austria,2018,households,Solid fossil fuels,19.279
22,Austria,2019,households,Solid fossil fuels,19.733
23,Austria,2020,households,Solid fossil fuels,19.937
24,Bosnia and Herzegovina,2014,households,Solid fossil fuels,56.449
25,Bosnia and Herzegovina,2015,households,Solid fossil fuels,55.122
26,Bosnia and Herzegovina,2016,households,Solid fossil fuels,73.537
27,Bosnia and Herzegovina,2017,households,Solid fossil fuels,104.375
28,Bosnia and Herzegovina,2018,households,Solid fossil fuels,76.678
29,Bosnia and Herzegovina,2019,households,Solid fossil fuels,57.292
30,Bosnia and Herzegovina,2020,households,Solid fossil fuels,58.407
31,Belgium,2009,households,Solid fossil fuels,210.371
32,Belgium,2010,households,Solid fossil fuels,106.571
33,Belgium,2011,households,Solid fossil fuels,98.344
34,Belgium,2012,households,Solid fossil fuels,96.128
35,Belgium,2013,households,Solid fossil fuels,117.172
36,Belgium,2014,households,Solid fossil fuels,76.259
37,Belgium,2015,households,Solid fossil fuels,75.707
38,Belgium,2016,households,Solid fossil fuels,73.261
39,Belgium,2017,households,Solid fossil fuels,70.273
40,Belgium,2018,households,Solid fossil fuels,57.479
41,Belgium,2019,households,Solid fossil fuels,41.664
42,Belgium,2020,households,Solid fossil fuels,32.52
43,Bulgaria,2009,households,Solid fossil fuels,137.072
44,Bulgaria,2010,households,Solid fossil fuels,191.281
45,Bulgaria,2011,households,Solid fossil fuels,238.373
46,Bulgaria,2012,households,Solid fossil fuels,231.094
47,Bulgaria,2013,households,Solid fossil fuels,188.965
48,Bulgaria,2014,households,Solid fossil fuels,131.669
49,Bulgaria,2015,households,Solid fossil fuels,133.448
50,Bulgaria,2016,households,Solid fossil fuels,150.582
51,Bulgaria,2017,households,Solid fossil fuels,158.671
52,Bulgaria,2018,households,Solid fossil fuels,114.688
53,Bulgaria,2019,households,Solid fossil fuels,102.302
54,Bulgaria,2020,households,Solid fossil fuels,99.401
55,Cyprus,2009,households,Solid fossil fuels,0.0
56,Cyprus,2010,households,Solid fossil fuels,0.0
57,Cyprus,2011,households,Solid fossil fuels,0.0
58,Cyprus,2012,households,Solid fossil fuels,0.0
59,Cyprus,2013,households,Solid fossil fuels,0.0
60,Cyprus,2014,households,Solid fossil fuels,0.0
61,Cyprus,2015,households,Solid fossil fuels,0.0
62,Cyprus,2016,households,Solid fossil fuels,0.0
63,Cyprus,2017,households,Solid fossil fuels,0.0
64,Cyprus,2018,households,Solid fossil fuels,0.0
65,Cyprus,2019,households,Solid fossil fuels,0.0
66,Cyprus,2020,households,Solid fossil fuels,0.0
67,Czechia,2009,households,Solid fossil fuels,723.133
68,Czechia,2010,households,Solid fossil fuels,950.922
69,Czechia,2011,households,Solid fossil fuels,889.074
70,Czechia,2012,households,Solid fossil fuels,937.825
71,Czechia,2013,households,Solid fossil fuels,977.504
72,Czechia,2014,households,Solid fossil fuels,830.102
73,Czechia,2015,households,Solid fossil fuels,830.505
74,Czechia,2016,households,Solid fossil fuels,820.004
75,Czechia,2017,households,Solid fossil fuels,837.64
76,Czechia,2018,households,Solid fossil fuels,786.32
77,Czechia,2019,households,Solid fossil fuels,646.585
78,Czechia,2020,households,Solid fossil fuels,634.435
79,Germany,2009,households,Solid fossil fuels,634.813
80,Germany,2010,households,Solid fossil fuels,992.142
81,Germany,2011,households,Solid fossil fuels,865.783
82,Germany,2012,households,Solid fossil fuels,742.845
83,Germany,2013,households,Solid fossil fuels,691.631
84,Germany,2014,households,Solid fossil fuels,572.765
85,Germany,2015,households,Solid fossil fuels,600.785
86,Germany,2016,households,Solid fossil fuels,519.58
87,Germany,2017,households,Solid fossil fuels,500.376
88,Germany,2018,households,Solid fossil fuels,492.475
89,Germany,2019,households,Solid fossil fuels,345.388
90,Germany,2020,households,Solid fossil fuels,316.48
91,Denmark,2009,households,Solid fossil fuels,0.437
92,Denmark,2010,households,Solid fossil fuels,0.437
