,country,time-period,GDP(mm-euro)
0,Austria,1995-Q1,59780.9
1,Austria,1995-Q2,60233.1
2,Austria,1995-Q3,60432.1
3,Austria,1995-Q4,61000.1
4,Austria,1996-Q1,61194.2
5,Austria,1996-Q2,61739.4
6,Austria,1996-Q3,61931.1
7,Austria,1996-Q4,62034.4
8,Austria,1997-Q1,62385.2
9,Austria,1997-Q2,62571.4
10,Austria,1997-Q3,63351.6
11,Austria,1997-Q4,64022.8
12,Austria,1998-Q1,64510.0
13,Austria,1998-Q2,65200.8
14,Austria,1998-Q3,65595.5
15,Austria,1998-Q4,65866.6
16,Austria,1999-Q1,66322.7
17,Austria,1999-Q2,67176.9
18,Austria,1999-Q3,68067.3
19,Austria,1999-Q4,68458.4
20,Austria,2000-Q1,69212.2
21,Austria,2000-Q2,69663.0
22,Austria,2000-Q3,69965.5
23,Austria,2000-Q4,71062.5
24,Austria,2001-Q1,70830.8
25,Austria,2001-Q2,70657.8
26,Austria,2001-Q3,70694.4
27,Austria,2001-Q4,71084.9
28,Austria,2002-Q1,71716.3
29,Austria,2002-Q2,72070.0
30,Austria,2002-Q3,72299.2
31,Austria,2002-Q4,71999.8
32,Austria,2003-Q1,72522.6
33,Austria,2003-Q2,72602.7
34,Austria,2003-Q3,72839.1
35,Austria,2003-Q4,72946.0
36,Austria,2004-Q1,73644.1
37,Austria,2004-Q2,74267.0
38,Austria,2004-Q3,75010.9
39,Austria,2004-Q4,75272.2
40,Austria,2005-Q1,75208.1
41,Austria,2005-Q2,76079.1
42,Austria,2005-Q3,76644.6
43,Austria,2005-Q4,77332.4
44,Austria,2006-Q1,78178.1
45,Austria,2006-Q2,78455.3
46,Austria,2006-Q3,79371.4
47,Austria,2006-Q4,80196.9
48,Austria,2007-Q1,80944.7
49,Austria,2007-Q2,81884.6
50,Austria,2007-Q3,82167.8
51,Austria,2007-Q4,82865.2
52,Austria,2008-Q1,83420.3
53,Austria,2008-Q2,84111.9
54,Austria,2008-Q3,83564.5
55,Austria,2008-Q4,81690.8
56,Austria,2009-Q1,80283.6
57,Austria,2009-Q2,79654.5
58,Austria,2009-Q3,79993.7
59,Austria,2009-Q4,80382.3
60,Austria,2010-Q1,80051.0
61,Austria,2010-Q2,81127.7
62,Austria,2010-Q3,81855.0
63,Austria,2010-Q4,82811.3
64,Austria,2011-Q1,83522.9
65,Austria,2011-Q2,83728.7
66,Austria,2011-Q3,84291.3
67,Austria,2011-Q4,84265.0
68,Austria,2012-Q1,84936.4
69,Austria,2012-Q2,84585.7
70,Austria,2012-Q3,84436.1
71,Austria,2012-Q4,84392.0
72,Austria,2013-Q1,84240.1
73,Austria,2013-Q2,84303.2
74,Austria,2013-Q3,84690.5
75,Austria,2013-Q4,85024.0
76,Austria,2014-Q1,84832.9
77,Austria,2014-Q2,85399.3
78,Austria,2014-Q3,85319.0
79,Austria,2014-Q4,85436.3
80,Austria,2015-Q1,85675.1
81,Austria,2015-Q2,85838.8
82,Austria,2015-Q3,86328.5
83,Austria,2015-Q4,86437.9
84,Austria,2016-Q1,87365.9
85,Austria,2016-Q2,87260.2
86,Austria,2016-Q3,87740.4
87,Austria,2016-Q4,88640.2
88,Austria,2017-Q1,89041.4
89,Austria,2017-Q2,89574.1
90,Austria,2017-Q3,90036.7
91,Austria,2017-Q4,90680.2
92,Austria,2018-Q1,91489.6
93,Austria,2018-Q2,91826.0
94,Austria,2018-Q3,91951.7
95,Austria,2018-Q4,92897.3
96,Austria,2019-Q1,93674.5
97,Austria,2019-Q2,93254.4
98,Austria,2019-Q3,93445.1
99,Austria,2019-Q4,93208.2
100,Austria,2020-Q1,90833.1
101,Austria,2020-Q2,80489.0
102,Austria,2020-Q3,89197.3
103,Austria,2020-Q4,87519.3
104,Austria,2021-Q1,87101.0
105,Austria,2021-Q2,90873.8
106,Austria,2021-Q3,93952.3
107,Austria,2021-Q4,93219.6
108,Austria,2022-Q1,94663.1
109,Austria,2022-Q2,95108.3
110,Bosnia and Herzegovina,2000-Q1,2376.6
111,Bosnia and Herzegovina,2000-Q2,2392.1
112,Bosnia and Herzegovina,2000-Q3,2407.2
113,Bosnia and Herzegovina,2000-Q4,2423.4
114,Bosnia and Herzegovina,2001-Q1,2432.2
115,Bosnia and Herzegovina,2001-Q2,2447.2
116,Bosnia and Herzegovina,2001-Q3,2468.7
117,Bosnia and Herzegovina,2001-Q4,2490.1
118,Bosnia and Herzegovina,2002-Q1,2529.1
119,Bosnia and Herzegovina,2002-Q2,2567.3
120,Bosnia and Herzegovina,2002-Q3,2594.5
121,Bosnia and Herzegovina,2002-Q4,2620.8
122,Bosnia and Herzegovina,2003-Q1,2642.8
123,Bosnia and Herzegovina,2003-Q2,2659.3
124,Bosnia and Herzegovina,2003-Q3,2691.2
125,Bosnia and Herzegovina,2003-Q4,2730.4
126,Bosnia and Herzegovina,2004-Q1,2780.2
127,Bosnia and Herzegovina,2004-Q2,2825.5
128,Bosnia and Herzegovina,2004-Q3,2868.4
129,Bosnia and Herzegovina,2004-Q4,2907.8
130,Bosnia and Herzegovina,2005-Q1,2911.3
131,Bosnia and Herzegovina,2005-Q2,2951.3
132,Bosnia and Herzegovina,2005-Q3,2982.4
133,Bosnia and Herzegovina,2005-Q4,3021.2
134,Bosnia and Herzegovina,2006-Q1,3070.0
135,Bosnia and Herzegovina,2006-Q2,3113.7
136,Bosnia and Herzegovina,2006-Q3,3148.3
137,Bosnia and Herzegovina,2006-Q4,3176.5
138,Bosnia and Herzegovina,2007-Q1,3380.5
139,Bosnia and Herzegovina,2007-Q2,3324.1
140,Bosnia and Herzegovina,2007-Q3,3296.6
141,Bosnia and Herzegovina,2007-Q4,3275.6
142,Bosnia and Herzegovina,2008-Q1,3579.6
143,Bosnia and Herzegovina,2008-Q2,3504.2
144,Bosnia and Herzegovina,2008-Q3,3468.7
145,Bosnia and Herzegovina,2008-Q4,3454.1
146,Bosnia and Herzegovina,2009-Q1,3417.6
147,Bosnia and Herzegovina,2009-Q2,3406.5
148,Bosnia and Herzegovina,2009-Q3,3399.4
149,Bosnia and Herzegovina,2009-Q4,3369.6
150,Bosnia and Herzegovina,2010-Q1,3406.1
151,Bosnia and Herzegovina,2010-Q2,3415.0
152,Bosnia and Herzegovina,2010-Q3,3414.2
153,Bosnia and Herzegovina,2010-Q4,3457.0
154,Bosnia and Herzegovina,2011-Q1,3451.6
155,Bosnia and Herzegovina,2011-Q2,3448.9
156,Bosnia and Herzegovina,2011-Q3,3459.8
157,Bosnia and Herzegovina,2011-Q4,3469.5
158,Bosnia and Herzegovina,2012-Q1,3389.6
159,Bosnia and Herzegovina,2012-Q2,3419.5
160,Bosnia and Herzegovina,2012-Q3,3444.7
