DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-01,588.340,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-02,542.046,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-03,564.343,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-04,465.565,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-05,476.886,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-06,479.546,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-07,517.478,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-08,550.170,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-09,475.650,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-10,497.155,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-11,528.975,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2018-12,653.736,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-01,631.702,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-02,545.847,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-03,559.639,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-04,528.040,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-05,518.804,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-06,527.613,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-07,550.730,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-08,578.114,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-09,493.023,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-10,465.219,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-11,495.912,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2019-12,601.745,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2020-01,620.435,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2020-02,576.753,
ESTAT:NRG_CB_EM(1.0),10/08/22 23:00:00,M,AIM,E7000,GWH,AL,2020-03,543.260,
