DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-01,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-02,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-03,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-04,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-05,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-06,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-07,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-08,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-09,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-10,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-11,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2018-12,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-01,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-02,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-03,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-04,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-05,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-06,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-07,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-08,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-09,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-10,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-11,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2019-12,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-01,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-02,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-03,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-04,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-05,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-06,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-07,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-08,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-09,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-10,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-11,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2020-12,0.000,
ESTAT:NRG_CB_PEM(1.0),10/08/22 23:00:00,M,C0000,GWH,AL,2021-01,0.000,
