DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2009,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2010,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2011,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2012,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2013,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2014,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2015,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2016,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2017,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2018,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2019,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AL,2020,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2009,14.397,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2010,15.979,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2011,26.558,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2012,27.922,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2013,36.861,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2014,36.637,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2015,20.776,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2016,15.582,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2017,37.651,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2018,25.300,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2019,26.721,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,AT,2020,21.848,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BA,2014,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BA,2015,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BA,2016,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BA,2017,0.000,
