DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2009,98.149,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2010,108.549,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2011,137.799,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2012,76.049,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2013,63.050,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2014,81.249,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2015,91.133,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2016,46.394,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2017,119.884,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2018,235.830,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2019,119.296,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AL,2020,147.401,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2009,328.351,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2010,296.866,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2011,296.637,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2012,301.607,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2013,312.563,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2014,313.929,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2015,331.023,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2016,339.880,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2017,305.567,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2018,290.666,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2019,288.412,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,AT,2020,323.825,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,BA,2014,118.526,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,BA,2015,114.341,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,BA,2016,92.294,
ESTAT:TEN00129(1.0),14/04/22 11:00:00,A,FC_IND_E,C0000X0350-0370,KTOE,BA,2017,115.113,
